Symbol	Name	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
TP53	tumor protein p53	360 / 975 (36.92%)	"4,008 / 10,202"	10 / 952 (1.05%)	9 / 952 (0.95%)	240	Cancer Gene Census	add to survival plot
PIK3CA	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha"	336 / 975 (34.46%)	"1,403 / 10,202"	52 / 952 (5.46%)	2 / 952 (0.21%)	82	Cancer Gene Census	add to survival plot
TTN	titin	241 / 975 (24.72%)	"3,858 / 10,202"	14 / 952 (1.47%)	5 / 952 (0.53%)	469		add to survival plot
MUC4	"mucin 4, cell surface associated"	193 / 975 (19.79%)	"1,304 / 10,202"	30 / 952 (3.15%)	6 / 952 (0.63%)	140		add to survival plot
CDH1	"cadherin 1, type 1, E-cadherin (epithelial)"	149 / 975 (15.28%)	"385 / 10,202"	0 / 952 (0.00%)	0 / 952 (0.00%)	133	Cancer Gene Census	add to survival plot
MUC16	"mucin 16, cell surface associated"	148 / 975 (15.18%)	"2,466 / 10,202"	17 / 952 (1.79%)	5 / 952 (0.53%)	203		add to survival plot
GATA3	GATA binding protein 3	138 / 975 (14.15%)	"362 / 10,202"	7 / 952 (0.74%)	0 / 952 (0.00%)	103	Cancer Gene Census	add to survival plot
MUC2	"mucin 2, oligomeric mucus/gel-forming"	113 / 975 (11.59%)	"699 / 10,202"	0 / 952 (0.00%)	0 / 952 (0.00%)	57		add to survival plot
KMT2C	lysine (K)-specific methyltransferase 2C	101 / 975 (10.36%)	"1,003 / 10,202"	1 / 952 (0.11%)	10 / 952 (1.05%)	128	Cancer Gene Census	add to survival plot
MAP3K1	"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase"	90 / 975 (9.23%)	"328 / 10,202"	0 / 952 (0.00%)	6 / 952 (0.63%)	133	Cancer Gene Census	add to survival plot
RYR2	ryanodine receptor 2 (cardiac)	88 / 975 (9.03%)	"1,575 / 10,202"	10 / 952 (1.05%)	3 / 952 (0.32%)	114		add to survival plot
SYNE1	"spectrin repeat containing, nuclear envelope 1"	80 / 975 (8.21%)	"1,593 / 10,202"	11 / 952 (1.16%)	3 / 952 (0.32%)	109		add to survival plot
HMCN1	hemicentin 1	79 / 975 (8.10%)	"1,148 / 10,202"	13 / 952 (1.37%)	3 / 952 (0.32%)	101		add to survival plot
USH2A	"Usher syndrome 2A (autosomal recessive, mild)"	76 / 975 (7.79%)	"1,393 / 10,202"	10 / 952 (1.05%)	3 / 952 (0.32%)	87		add to survival plot
SPTA1	"spectrin, alpha, erythrocytic 1"	74 / 975 (7.59%)	"1,126 / 10,202"	14 / 952 (1.47%)	5 / 952 (0.53%)	80		add to survival plot
FLG	filaggrin	71 / 975 (7.28%)	"1,430 / 10,202"	14 / 952 (1.47%)	2 / 952 (0.21%)	86		add to survival plot
PTEN	phosphatase and tensin homolog	68 / 975 (6.97%)	"1,005 / 10,202"	3 / 952 (0.32%)	16 / 952 (1.68%)	66	Cancer Gene Census	add to survival plot
DST	dystonin	68 / 975 (6.97%)	"1,181 / 10,202"	7 / 952 (0.74%)	3 / 952 (0.32%)	112		add to survival plot
RYR3	ryanodine receptor 3	68 / 975 (6.97%)	"1,075 / 10,202"	2 / 952 (0.21%)	9 / 952 (0.95%)	74		add to survival plot
ZFHX4	zinc finger homeobox 4	64 / 975 (6.56%)	"1,293 / 10,202"	9 / 952 (0.95%)	3 / 952 (0.32%)	72		add to survival plot
OBSCN	"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF"	63 / 975 (6.46%)	"1,316 / 10,202"	9 / 952 (0.95%)	0 / 952 (0.00%)	83		add to survival plot
DMD	dystrophin	63 / 975 (6.46%)	"952 / 10,202"	2 / 952 (0.21%)	3 / 952 (0.32%)	86		add to survival plot
NEB	nebulin	61 / 975 (6.26%)	"1,040 / 10,202"	0 / 952 (0.00%)	2 / 952 (0.21%)	77		add to survival plot
MUC17	"mucin 17, cell surface associated"	59 / 975 (6.05%)	"1,105 / 10,202"	4 / 952 (0.42%)	3 / 952 (0.32%)	65		add to survival plot
MACF1	microtubule-actin crosslinking factor 1	58 / 975 (5.95%)	"1,050 / 10,202"	3 / 952 (0.32%)	1 / 952 (0.11%)	71		add to survival plot
NCOR1	nuclear receptor corepressor 1	57 / 975 (5.85%)	"505 / 10,202"	3 / 952 (0.32%)	3 / 952 (0.32%)	60	Cancer Gene Census	add to survival plot
SYNE2	"spectrin repeat containing, nuclear envelope 2"	56 / 975 (5.74%)	"897 / 10,202"	2 / 952 (0.21%)	1 / 952 (0.11%)	75		add to survival plot
APOB	apolipoprotein B	56 / 975 (5.74%)	"1,092 / 10,202"	3 / 952 (0.32%)	2 / 952 (0.21%)	69		add to survival plot
MUC5B	"mucin 5B, oligomeric mucus/gel-forming"	54 / 975 (5.54%)	"981 / 10,202"	5 / 952 (0.53%)	4 / 952 (0.42%)	59		add to survival plot
NF1	neurofibromin 1	54 / 975 (5.54%)	"776 / 10,202"	2 / 952 (0.21%)	8 / 952 (0.84%)	63	Cancer Gene Census	add to survival plot
ABCA13	"ATP-binding cassette, sub-family A (ABC1), member 13"	53 / 975 (5.44%)	"958 / 10,202"	5 / 952 (0.53%)	3 / 952 (0.32%)	66		add to survival plot
GOLGA6L6	golgin A6 family-like 6	53 / 975 (5.44%)	"254 / 10,202"	2 / 952 (0.21%)	6 / 952 (0.63%)	21		add to survival plot
PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1	53 / 975 (5.44%)	"947 / 10,202"	12 / 952 (1.26%)	2 / 952 (0.21%)	64		add to survival plot
CSMD1	CUB and Sushi multiple domains 1	52 / 975 (5.33%)	"1,188 / 10,202"	1 / 952 (0.11%)	7 / 952 (0.74%)	59		add to survival plot
CSMD3	CUB and Sushi multiple domains 3	51 / 975 (5.23%)	"1,636 / 10,202"	16 / 952 (1.68%)	2 / 952 (0.21%)	59		add to survival plot
CCDC168	coiled-coil domain containing 168	51 / 975 (5.23%)	"362 / 10,202"	6 / 952 (0.63%)	1 / 952 (0.11%)	85		add to survival plot
FAT3	FAT atypical cadherin 3	51 / 975 (5.23%)	"1,170 / 10,202"	7 / 952 (0.74%)	2 / 952 (0.21%)	65		add to survival plot
RUNX1	runt-related transcription factor 1	50 / 975 (5.13%)	"233 / 10,202"	8 / 952 (0.84%)	1 / 952 (0.11%)	46	Cancer Gene Census	add to survival plot
DNAH11	"dynein, axonemal, heavy chain 11"	49 / 975 (5.03%)	"942 / 10,202"	5 / 952 (0.53%)	2 / 952 (0.21%)	57		add to survival plot
HUWE1	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"	49 / 975 (5.03%)	"726 / 10,202"	3 / 952 (0.32%)	0 / 952 (0.00%)	59		add to survival plot
RYR1	ryanodine receptor 1 (skeletal)	48 / 975 (4.92%)	"1,090 / 10,202"	5 / 952 (0.53%)	0 / 952 (0.00%)	53		add to survival plot
CACNA1E	"calcium channel, voltage-dependent, R type, alpha 1E subunit"	47 / 975 (4.82%)	"846 / 10,202"	4 / 952 (0.42%)	1 / 952 (0.11%)	55		add to survival plot
XIRP2	xin actin-binding repeat containing 2	47 / 975 (4.82%)	"1,185 / 10,202"	3 / 952 (0.32%)	1 / 952 (0.11%)	66		add to survival plot
LRP1B	low density lipoprotein receptor-related protein 1B	47 / 975 (4.82%)	"1,524 / 10,202"	2 / 952 (0.21%)	2 / 952 (0.21%)	54		add to survival plot
PIK3R1	"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"	45 / 975 (4.62%)	"540 / 10,202"	1 / 952 (0.11%)	4 / 952 (0.42%)	47	Cancer Gene Census	add to survival plot
ARID1A	AT rich interactive domain 1A (SWI-like)	45 / 975 (4.62%)	"936 / 10,202"	0 / 952 (0.00%)	6 / 952 (0.63%)	46	Cancer Gene Census	add to survival plot
LRP2	low density lipoprotein receptor-related protein 2	45 / 975 (4.62%)	"1,009 / 10,202"	7 / 952 (0.74%)	0 / 952 (0.00%)	52		add to survival plot
PCLO	piccolo presynaptic cytomatrix protein	45 / 975 (4.62%)	"1,340 / 10,202"	6 / 952 (0.63%)	0 / 952 (0.00%)	57		add to survival plot
